,created_at,likes,retweets,source,text
169,2020-01-23 02:50:28,36727.0,8480.0,Twitter for iPhone,"On 23rd January 1897, Janakinath Bose wrote in his diary, “A son was born at midday.”

This son became a valorous f… https://t.co/B3sHSTU7Nm"
170,2020-01-22 14:32:04,8025.0,1649.0,Twitter Web App,"In line with our focus on speedy and timely completion of projects, we reviewed eleven key projects.

There were al… https://t.co/ktKEHEmdmU"
171,2020-01-22 14:32:04,20547.0,3623.0,Twitter Web App,"We had an excellent Pragati Session today, during which a wide range of policy initiatives and development projects… https://t.co/FXRRUA39H2"
172,2020-01-22 03:31:55,23052.0,4231.0,Twitter for iPhone,"Exams, motivation, demotivation, importance of co-curricular activities and more...

Do hear ‘Pariksha Pe Charcha 2… https://t.co/jx0QgJWy1n"
173,2020-01-21 14:33:32,26655.0,3924.0,Twitter for iPhone,I congratulate the people of India and Nepal on the inauguration of the second Integrated Check Post at Jogbani-Bir… https://t.co/woFL9aUDdH
174,2020-01-21 05:46:12,22773.0,4741.0,Periscope,Boosting friendship with Nepal. Watch. https://t.co/tVLuJcCMcO
175,2020-01-21 04:23:12,20980.0,3452.0,Twitter for iPhone,Statehood Day greetings to my sisters and brothers of Tripura. We are proud of Tripura’s exemplary traditions and c… https://t.co/1ph22Wdh2H
176,2020-01-21 04:21:55,14361.0,2556.0,Twitter for iPhone,Best wishes to the people of Meghalaya on their Statehood Day. The people of Meghalaya are known for their kind and… https://t.co/3GcbhpWTvG
177,2020-01-21 04:20:48,16665.0,2836.0,Twitter for iPhone,"On Manipur’s Statehood Day, my greetings to the people of the wonderful state. Manipur is known for its vibrant cul… https://t.co/03Ejl1lBGV"
178,2020-01-20 14:35:10,27431.0,4653.0,Twitter for iPhone,"I thank my young friends, their parents and outstanding teachers for joining today’s ‘Pariksha Pe Charcha.’

Being… https://t.co/lrg30p6BIL"
179,2020-01-20 14:33:32,22476.0,4389.0,Twitter for iPhone,"As an early riser (by habit) and a late sleeper (due to work), I am not the ideal person to talk about sleep habits… https://t.co/VJkSzn6rJg"
180,2020-01-20 14:32:28,10234.0,2226.0,Twitter Media Studio,The big burden of expectations and how our youth could deal with it… https://t.co/egTiK9UwhS
181,2020-01-20 14:32:00,10834.0,2276.0,Twitter for iPhone,"I am pleased that my young friend from Arunachal Pradesh asked me a question on Fundamental Duties.

You must hear… https://t.co/B852Zilodf"
182,2020-01-20 14:31:24,7158.0,1771.0,Twitter for iPhone,"Technology and gadgets- boon or bane?

A topic with strong views on both sides…

This is what we discussed about te… https://t.co/PJm639wo5W"
183,2020-01-20 14:30:05,8622.0,1996.0,Twitter for iPhone,"India’s youth is passionate and talented. 

Their passion cannot become a fashion statement for parents! 

May our… https://t.co/YFFZcchSJZ"
